world_model,policy,replicate,seed,order_id,n_learners,initial_latent,immediate_latent,delayed_latent,immediate_observed,immediate_expected,delayed_observed,delayed_expected,practice_accuracy,unique_skills,mean_selected_item_shift,belief_entropy_reduction,practice_end_day,delayed_test_day,n_low,delayed_latent_low,n_middle,delayed_latent_middle,n_high,delayed_latent_high,ref_delayed_latent,ref_delayed_observed,simulated_benefit_delayed_latent,simulated_benefit_delayed_observed
binary_bktf,balanced_mastery,10.0,21260831.0,2.0,250.0,0.5382,0.59916,0.57996,0.654912,0.6537917509611119,0.6476080000000001,0.6491456174220931,0.6996400000000002,18.848,0.7120991472734461,0.00902035201700751,19.01388888888889,49.01388888888889,68.0,0.4622058823529412,132.0,0.5898484848484848,50.0,0.7140000000000001,0.56692,0.643656,0.013039999999999963,0.003952000000000044
binary_bktf,balanced_mastery,11.0,21360834.0,2.0,250.0,0.53,0.59108,0.57284,0.653928,0.6518923286291308,0.651424,0.6475191626615441,0.7003999999999999,18.84,0.7131717430237943,0.009181358907904613,19.01388888888889,49.01388888888889,81.0,0.455679012345679,117.0,0.5936752136752137,52.0,0.7084615384615385,0.5644,0.648488,0.008440000000000026,0.0029360000000000276
binary_bktf,balanced_mastery,12.0,21460837.0,2.0,250.0,0.5402,0.60488,0.5851999999999999,0.654032,0.6550080472923874,0.649184,0.6502375349387194,0.69704,18.716,0.7181390277027624,0.008845522305496779,19.01388888888889,49.01388888888889,73.0,0.4634246575342466,119.0,0.6004201680672269,58.0,0.7072413793103448,0.5693199999999999,0.646056,0.015879999999999984,0.0031280000000000418
binary_bktf,balanced_mastery,13.0,21560840.0,2.0,250.0,0.5428,0.6042400000000001,0.5841200000000001,0.653384,0.6551283289565835,0.65196,0.6502172833732671,0.69912,18.844,0.7127924119077392,0.008993206321660669,19.01388888888889,49.01388888888889,68.0,0.4752941176470588,123.0,0.5841463414634147,59.0,0.7094915254237287,0.5745600000000001,0.649336,0.009559999999999968,0.002623999999999982
binary_bktf,balanced_mastery,14.0,21660843.0,2.0,250.0,0.5372,0.6022000000000001,0.5816000000000001,0.6546240000000001,0.6544678465163836,0.653496,0.6494746390039295,0.70388,18.96,0.711787645466674,0.009022939516041249,19.01388888888889,49.01388888888889,79.0,0.4756962025316455,110.0,0.59,61.0,0.7036065573770492,0.56856,0.6504719999999999,0.013040000000000029,0.0030239999999999378
binary_bktf,balanced_mastery,15.0,21760846.0,2.0,250.0,0.5514000000000001,0.6122,0.59256,0.65904,0.6568225965638941,0.651384,0.6520599758985155,0.7062,19.084,0.6987601584435331,0.009311506612161928,19.01388888888889,49.01388888888889,60.0,0.4666666666666668,137.0,0.5997080291970803,53.0,0.7166037735849056,0.5841200000000001,0.65044,0.008439999999999958,0.0009439999999999449
binary_bktf,balanced_mastery,16.0,21860849.0,2.0,250.0,0.533,0.60036,0.58144,0.645416,0.6539706640826954,0.64808,0.6494019293548564,0.699,18.796,0.7145176970808991,0.009427896180726349,19.01388888888889,49.01388888888889,75.0,0.46946666666666664,128.0,0.6015625,47.0,0.7053191489361702,0.5667199999999999,0.646936,0.014719999999999978,0.0011440000000000118
binary_bktf,balanced_mastery,17.0,21960852.0,2.0,250.0,0.5466000000000001,0.6082400000000001,0.5896,0.6550480000000001,0.6561914096800926,0.6560159999999999,0.6516337898825713,0.6958799999999998,18.8,0.7149149701287623,0.009277497146402972,19.01388888888889,49.01388888888889,61.0,0.47114754098360656,133.0,0.5968421052631581,56.0,0.7014285714285714,0.57872,0.6533680000000001,0.010880000000000023,0.0026479999999999837
binary_bktf,balanced_mastery,18.0,22060855.0,2.0,250.0,0.5452,0.6002000000000001,0.58208,0.6524,0.6540196698439231,0.651288,0.649622348521092,0.69924,18.764,0.7131855509642091,0.009115523287128426,19.01388888888889,49.01388888888889,72.0,0.45833333333333337,119.0,0.5915126050420167,59.0,0.7140677966101695,0.5772,0.650752,0.0048799999999999955,0.0005360000000000475
binary_bktf,balanced_mastery,19.0,22160858.0,2.0,250.0,0.5296,0.5962799999999999,0.57756,0.65064,0.6532062845191086,0.647816,0.6486772967487678,0.7032,19.036,0.704041505190514,0.009109727610995795,19.01388888888889,49.01388888888889,72.0,0.47333333333333333,136.0,0.5941911764705882,42.0,0.7023809523809523,0.56584,0.644992,0.011719999999999975,0.00282399999999996
binary_bktf,balanced_mastery,20.0,22260861.0,2.0,250.0,0.54,0.6032399999999999,0.5833600000000001,0.651832,0.6548366123838305,0.651048,0.650021610359394,0.70024,18.844,0.7114981091582144,0.008713920332856133,19.01388888888889,49.01388888888889,59.0,0.45847457627118643,142.0,0.5897887323943662,49.0,0.7151020408163266,0.57524,0.65016,0.008119999999999994,0.0008879999999999554
binary_bktf,balanced_mastery,21.0,22360864.0,2.0,250.0,0.532,0.5980000000000001,0.57892,0.6518240000000001,0.6533543154510555,0.646984,0.6487507712406931,0.6958799999999998,18.692,0.7180692766648297,0.008818086338635543,19.01388888888889,49.01388888888889,70.0,0.4751428571428572,136.0,0.5924264705882353,44.0,0.7022727272727273,0.56636,0.644144,0.012560000000000038,0.002839999999999998
binary_bktf,balanced_mastery,22.0,22460867.0,2.0,250.0,0.5464,0.60624,0.58596,0.656048,0.6553994167426482,0.6501520000000001,0.6504455751919604,0.70204,18.904,0.7134542548633135,0.009267715216614023,19.01388888888889,49.01388888888889,61.0,0.4778688524590164,134.0,0.5879850746268657,55.0,0.7009090909090909,0.5748,0.647336,0.011160000000000014,0.002815999999999974
binary_bktf,balanced_mastery,23.0,22560870.0,2.0,250.0,0.5344,0.60228,0.5833600000000001,0.654016,0.6542384786394839,0.64988,0.6496582257500003,0.6945999999999999,18.696,0.715240341471042,0.009150760571624532,19.01388888888889,49.01388888888889,74.0,0.4771621621621621,127.0,0.5962992125984251,49.0,0.710204081632653,0.5666800000000001,0.645352,0.016679999999999962,0.004527999999999999
binary_bktf,balanced_mastery,24.0,22660873.0,2.0,250.0,0.5476,0.6051200000000001,0.58476,0.659448,0.655142000290083,0.6515679999999999,0.6501722762967546,0.6976000000000001,18.864,0.7133024124372049,0.00919049589176129,19.01388888888889,49.01388888888889,64.0,0.46015625,127.0,0.5900787401574803,59.0,0.7084745762711864,0.57664,0.648128,0.008120000000000016,0.0034399999999999986
binary_bktf,balanced_mastery,25.0,22760876.0,2.0,250.0,0.5408000000000001,0.60576,0.58828,0.6552960000000001,0.6554178658082693,0.650104,0.6511571424214693,0.698,18.784,0.7159573982317149,0.009006119238995736,19.01388888888889,49.01388888888889,70.0,0.4700000000000001,120.0,0.60275,60.0,0.6973333333333332,0.5746399999999999,0.6470480000000001,0.01364000000000003,0.0030560000000000366
binary_bktf,balanced_mastery,26.0,22860879.0,2.0,250.0,0.5312,0.59788,0.5789599999999999,0.6522,0.6533497886958491,0.6541520000000001,0.6487366111771039,0.70032,18.916,0.7096622160162337,0.008653664341971993,19.01388888888889,49.01388888888889,68.0,0.4708823529411765,141.0,0.5961702127659574,41.0,0.6990243902439024,0.5676,0.6524080000000001,0.011359999999999926,0.0017439999999999457
binary_bktf,balanced_mastery,27.0,22960882.0,2.0,250.0,0.5246,0.5896800000000001,0.56928,0.651456,0.6513757687223931,0.648968,0.6464542060213504,0.69524,18.672,0.7180070438315761,0.008907047988656925,19.01388888888889,49.01388888888889,77.0,0.4750649350649351,131.0,0.5825954198473282,42.0,0.7004761904761905,0.5588,0.6468879999999999,0.010479999999999979,0.0020800000000000597
binary_bktf,balanced_mastery,28.0,23060885.0,2.0,250.0,0.5302,0.60228,0.58316,0.6557440000000001,0.6543989189397624,0.646448,0.6497889259969654,0.70052,18.892,0.7089251857683915,0.009124993641538171,19.01388888888889,49.01388888888889,61.0,0.4726229508196722,146.0,0.588972602739726,43.0,0.7202325581395349,0.5687599999999999,0.644328,0.014400000000000034,0.002119999999999944
binary_bktf,balanced_mastery,29.0,23160888.0,2.0,250.0,0.5442,0.6112400000000001,0.5894,0.659272,0.6568597771463771,0.6466239999999999,0.6515820922720149,0.7017599999999999,18.928,0.7102791012461617,0.008907934062180866,19.01388888888889,49.01388888888889,66.0,0.4790909090909091,129.0,0.5978294573643411,55.0,0.7020000000000001,0.5734,0.6434960000000001,0.016000000000000014,0.0031279999999999307
binary_bktf,blocked_median_item,0.0,20260801.0,2.0,250.0,0.5267999999999999,0.5812,0.5614399999999999,0.651032,0.6495182646288159,0.647048,0.6447137322910164,0.659648,20.0,0.2591132215989303,0.0313883176997564,19.01388888888889,49.01388888888889,77.0,0.45727272727272733,132.0,0.5800757575757576,41.0,0.6970731707317073,0.5614399999999999,0.647048,0.0,0.0
binary_bktf,blocked_median_item,1.0,20360804.0,2.0,250.0,0.5294,0.58216,0.5636,0.655504,0.6498801590388809,0.651016,0.6453779745924556,0.661064,20.0,0.2591132215989303,0.030974022996204054,19.01388888888889,49.01388888888889,72.0,0.4615277777777778,133.0,0.5790225563909773,45.0,0.6813333333333332,0.5636,0.651016,0.0,0.0
binary_bktf,blocked_median_item,2.0,20460807.0,2.0,250.0,0.5352,0.58648,0.5678,0.6546160000000001,0.6508854142101754,0.6466559999999999,0.6463495584267525,0.663544,20.0,0.2591132215989303,0.031074582693684138,19.01388888888889,49.01388888888889,73.0,0.46082191780821924,124.0,0.5804838709677419,53.0,0.6854716981132076,0.5678,0.6466559999999999,0.0,0.0
binary_bktf,blocked_median_item,3.0,20560810.0,2.0,250.0,0.5352,0.58692,0.5666399999999999,0.648176,0.6509513198365793,0.642448,0.6460597929615772,0.659424,20.0,0.2591132215989303,0.030888380406416137,19.01388888888889,49.01388888888889,70.0,0.4674285714285714,132.0,0.5786363636363636,48.0,0.6783333333333333,0.5666399999999999,0.642448,0.0,0.0
binary_bktf,blocked_median_item,4.0,20660813.0,2.0,250.0,0.5396,0.5887600000000001,0.56988,0.657224,0.651748805128287,0.6483679999999999,0.6471194537628498,0.660856,20.0,0.2591132215989303,0.030956608370513384,19.01388888888889,49.01388888888889,67.0,0.4619402985074627,136.0,0.5780882352941176,47.0,0.7,0.56988,0.6483679999999999,0.0,0.0
binary_bktf,blocked_median_item,5.0,20760816.0,2.0,250.0,0.5267999999999999,0.5810799999999999,0.5626800000000001,0.6494880000000001,0.649673024038709,0.64748,0.6451894148777104,0.66184,20.0,0.2591132215989303,0.031076779913931606,19.01388888888889,49.01388888888889,74.0,0.46513513513513516,137.0,0.5822627737226277,39.0,0.678974358974359,0.5626800000000001,0.64748,0.0,0.0
binary_bktf,blocked_median_item,6.0,20860819.0,2.0,250.0,0.538,0.59188,0.5729200000000001,0.650288,0.6522155595935804,0.6444639999999999,0.6475864256884798,0.66324,20.0,0.2591132215989303,0.03142008386946577,19.01388888888889,49.01388888888889,64.0,0.45703125,134.0,0.5781343283582089,52.0,0.7021153846153846,0.5729200000000001,0.6444639999999999,0.0,0.0
binary_bktf,blocked_median_item,7.0,20960822.0,2.0,250.0,0.5398,0.58924,0.571,0.650776,0.6515968163135187,0.643376,0.64717166527475,0.663528,20.0,0.2591132215989303,0.031821876675641125,19.01388888888889,49.01388888888889,70.0,0.4604285714285714,127.0,0.5813385826771653,53.0,0.6922641509433962,0.571,0.643376,0.0,0.0
binary_bktf,blocked_median_item,8.0,21060825.0,2.0,250.0,0.546,0.59544,0.57632,0.650176,0.6531810233587534,0.6493840000000001,0.6485773932087681,0.6637919999999999,20.0,0.2591132215989303,0.0316954675734942,19.01388888888889,49.01388888888889,64.0,0.4643750000000001,125.0,0.5827199999999999,61.0,0.680655737704918,0.57632,0.6493840000000001,0.0,0.0
binary_bktf,blocked_median_item,9.0,21160828.0,2.0,250.0,0.543,0.59532,0.5756,0.65484,0.6533253345394208,0.649432,0.6485388480886076,0.6635519999999999,20.0,0.2591132215989303,0.03138909792773824,19.01388888888889,49.01388888888889,64.0,0.47390625000000003,134.0,0.5805223880597016,52.0,0.6880769230769231,0.5756,0.649432,0.0,0.0
binary_bktf,blocked_median_item,10.0,21260831.0,2.0,250.0,0.5382,0.5856399999999999,0.56692,0.652616,0.6508734464996266,0.643656,0.6463207087707222,0.6601679999999999,20.0,0.2591132215989303,0.03125713325229595,19.01388888888889,49.01388888888889,68.0,0.4472058823529411,132.0,0.5774242424242424,50.0,0.702,0.56692,0.643656,0.0,0.0
binary_bktf,blocked_median_item,11.0,21360834.0,2.0,250.0,0.53,0.58184,0.5644,0.652744,0.6499639418108819,0.648488,0.6457703790407846,0.66068,20.0,0.2591132215989303,0.03162812399883544,19.01388888888889,49.01388888888889,81.0,0.4616049382716049,117.0,0.5793162393162393,52.0,0.6909615384615385,0.5644,0.648488,0.0,0.0
