world_model,practice_budget,items_per_day,policy,n_independent_replications,expected_benefit_mean,simulation_interval_low,simulation_interval_high
four_state_semimarkov,50,1,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,50,1,interleaved_median_item,5,-9.07499478312479e-05,-0.0009908832896743432,0.0008093833940118473
four_state_semimarkov,50,1,maximum_response_information_gain,5,0.003346002531764736,0.0022087157833807465,0.004483289280148725
four_state_semimarkov,50,1,two_corner_robust_response_information_gain,5,0.003182042665357365,0.0024313502016767683,0.003932735129037962
four_state_semimarkov,50,5,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,50,5,interleaved_median_item,5,0.00011451009605549789,-0.0007840220043591414,0.0010130421964701373
four_state_semimarkov,50,5,maximum_response_information_gain,5,0.003376992778599608,0.002293020605950725,0.004460964951248491
four_state_semimarkov,50,5,two_corner_robust_response_information_gain,5,0.0034066442979026833,0.0025464428055679933,0.004266845790237373
four_state_semimarkov,50,10,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,50,10,interleaved_median_item,5,-0.0003918172723304414,-0.0008247058789215073,4.107133426062455e-05
four_state_semimarkov,50,10,maximum_response_information_gain,5,0.0024165798082730118,0.001739797954513407,0.0030933616620326164
four_state_semimarkov,50,10,two_corner_robust_response_information_gain,5,0.0030190509498637663,0.0018427385882552087,0.004195363311472324
four_state_semimarkov,100,1,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,100,1,interleaved_median_item,5,0.0003934282641846143,-0.0009380564763733524,0.0017249130047425811
four_state_semimarkov,100,1,maximum_response_information_gain,5,0.0020113179510493407,0.001082429285748416,0.0029402066163502654
four_state_semimarkov,100,1,two_corner_robust_response_information_gain,5,0.0018904896281955908,4.244477558755359e-05,0.0037385344808036278
four_state_semimarkov,100,5,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,100,5,interleaved_median_item,5,-0.0004296291680490727,-0.0017398481438501306,0.0008805898077519853
four_state_semimarkov,100,5,maximum_response_information_gain,5,0.002163994093413291,-0.00011621333342111276,0.004444201520247694
four_state_semimarkov,100,5,two_corner_robust_response_information_gain,5,0.0025633694247834903,0.0012645293131134715,0.0038622095364535093
four_state_semimarkov,100,10,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,100,10,interleaved_median_item,5,5.971862328343347e-05,-0.0004933614999666102,0.0006127987465334772
four_state_semimarkov,100,10,maximum_response_information_gain,5,0.0024730112356840307,0.0018739659088582758,0.0030720565625097854
four_state_semimarkov,100,10,two_corner_robust_response_information_gain,5,0.00259062312840288,0.0016554100791824067,0.0035258361776233536
four_state_semimarkov,200,1,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,200,1,interleaved_median_item,5,-0.0001747782062095915,-0.002177514972141252,0.0018279585597220688
four_state_semimarkov,200,1,maximum_response_information_gain,5,0.0015106083424873517,0.00027240865754120163,0.002748808027433502
four_state_semimarkov,200,1,two_corner_robust_response_information_gain,5,0.002029998300479052,0.0011501898632304635,0.0029098067377276407
four_state_semimarkov,200,5,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,200,5,interleaved_median_item,5,0.00037733796154929553,-0.0021800267929716886,0.00293470271607028
four_state_semimarkov,200,5,maximum_response_information_gain,5,0.0012072699036783541,0.00020251252821397708,0.002212027279142731
four_state_semimarkov,200,5,two_corner_robust_response_information_gain,5,0.0009093508256395322,-0.0007820222828914375,0.002600723934170502
four_state_semimarkov,200,10,blocked_median_item,5,0.0,0.0,0.0
four_state_semimarkov,200,10,interleaved_median_item,5,0.00031568427750308106,-0.0005955318277782766,0.0012269003827844386
four_state_semimarkov,200,10,maximum_response_information_gain,5,0.0013814842073793022,0.0007732275088184233,0.001989740905940181
four_state_semimarkov,200,10,two_corner_robust_response_information_gain,5,0.000649679992179919,-0.0011613951118859614,0.0024607550962457993
