analysis_mode,world_model,policy,n_parameter_draws,mc_replicates_per_draw,learners_per_order_mc,orders_averaged_per_mc,mean_over_parameter_draws,parameter_sensitivity_quantile_025,parameter_sensitivity_quantile_975,quantile_025_bootstrap_stability_low,quantile_025_bootstrap_stability_high,quantile_975_bootstrap_stability_low,quantile_975_bootstrap_stability_high,positive_parameter_draw_fraction,between_parameter_draw_sd,median_within_draw_mc_sd,median_within_draw_mc_se,median_mc_se_to_between_draw_sd
frozen_policy,continuous_latent_trait,target_success_070,200,3,40,5,1.675783600564134e-05,-0.0030250895269675624,0.0024664948054608196,-0.0032460430158472208,-0.0022442243111508303,0.0021356382809183927,0.0026720288801745052,0.495,0.0013504481114507366,0.0004393378507062712,0.00025365182637045733,0.18782789521469917
frozen_policy,continuous_latent_trait,two_corner_robust_response_information_gain,200,3,40,5,0.001964871237518748,0.0002500016034046458,0.0038514457225529227,7.060736556193705e-05,0.00045697347778774156,0.003447640737093628,0.00401503591509528,0.99,0.0008937263619437527,0.00031557126405332137,0.0001821951542496956,0.2038601097694399
frozen_policy,four_state_semimarkov,balanced_mastery,200,3,40,5,0.0005569444444444443,-0.0038062499999999963,0.004500694444444444,-0.004109722222222223,-0.0028736111111111054,0.004055555555555555,0.004954166666666673,0.605,0.002196685965148577,0.002470169167027062,0.0014261528335269879,0.6492292736210601
frozen_policy,four_state_semimarkov,blocked_median_item,200,3,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frozen_policy,four_state_semimarkov,interleaved_median_item,200,3,40,5,0.00011944444444444445,-0.003472222222222219,0.0030881944444444425,-0.0038340277777777786,-0.0025013888888888876,0.0025555555555555557,0.0035055555555555586,0.52,0.0016951044929114118,0.0023486134490389296,0.0013559726070250017,0.7999345248009241
frozen_policy,four_state_semimarkov,least_mastery_target_item,200,3,40,5,-0.003576388888888887,-0.009588194444444439,0.0014527777777777837,-0.010863888888888883,-0.008754166666666664,0.0006680555555555528,0.002507638888888909,0.11,0.003103186632761032,0.0024690161173254116,0.0014254871199713512,0.4593623551101202
frozen_policy,four_state_semimarkov,maximum_response_information_gain,200,3,40,5,0.006728472222222219,0.003194444444444443,0.010282638888888888,0.00288541666666667,0.003665972222222223,0.009834027777777777,0.01095972222222222,1.0,0.001922554534190844,0.0026579719364234807,0.0015345808129925676,0.7981988472636148
frozen_policy,four_state_semimarkov,maximum_skill_uncertainty,200,3,40,5,0.0026020833333333326,-0.0008611111111111077,0.006172916666666668,-0.0011687500000000018,-0.00033402777777777906,0.005694444444444442,0.007194444444444446,0.905,0.0018873013196958673,0.0024197632133728265,0.0013970509426159553,0.7402373579864214
frozen_policy,four_state_semimarkov,target_success_070,200,3,40,5,-1.9583333333332886e-05,-0.004417361111111108,0.00439097222222223,-0.005050000000000002,-0.0036430208333333293,0.003225,0.004650000000000003,0.515,0.0023378668262054145,0.002326850253097392,0.001343407619989728,0.574629660223294
frozen_policy,four_state_semimarkov,two_corner_robust_response_information_gain,200,3,40,5,0.006838611111111108,0.003103472222222223,0.009729861111111111,0.0019944444444444406,0.003985416666666664,0.009529166666666665,0.010342361111111115,1.0,0.0018206236562094526,0.0026605292432309476,0.001536057274766259,0.8436984049544527
