world_model,policy,quantile_group,n_replicates,mean_simulated_benefit,simulation_interval_low,simulation_interval_high,mean_group_prevalence,mean_group_n
continuous_latent_trait,target_success_070,high,10,0.0004765478639561116,-6.81846809040746e-05,0.0010212804088162977,0.3276,81.9
continuous_latent_trait,target_success_070,low,10,0.00022080305333730025,-0.00033298833034382726,0.0007745944370184278,0.33399999999999996,83.5
continuous_latent_trait,target_success_070,middle,10,0.00048537109765540336,0.0002219174784616901,0.0007488247168491167,0.3384,84.6
continuous_latent_trait,two_corner_robust_response_information_gain,high,10,0.0017729056541950672,0.0014511546872077552,0.0020946566211823793,0.3276,81.9
continuous_latent_trait,two_corner_robust_response_information_gain,low,10,0.0019964235798263304,0.001399479883662715,0.002593367275989946,0.33399999999999996,83.5
continuous_latent_trait,two_corner_robust_response_information_gain,middle,10,0.002142630192606683,0.0017382095030215945,0.002547050882191772,0.3384,84.6
four_state_semimarkov,balanced_mastery,high,10,0.004878206752096541,0.0018810534538141366,0.007875360050378945,0.258,64.5
four_state_semimarkov,balanced_mastery,low,10,-0.0008452427771648674,-0.003965549633402813,0.002275064079073079,0.39,97.5
four_state_semimarkov,balanced_mastery,middle,10,-0.0013976149988065474,-0.004034549819405673,0.0012393198217925782,0.352,88.0
four_state_semimarkov,blocked_median_item,high,10,0.0,0.0,0.0,0.258,64.5
four_state_semimarkov,blocked_median_item,low,10,0.0,0.0,0.0,0.39,97.5
four_state_semimarkov,blocked_median_item,middle,10,0.0,0.0,0.0,0.352,88.0
four_state_semimarkov,interleaved_median_item,high,10,-0.0012023193386884957,-0.00321322351257634,0.0008085848351993489,0.258,64.5
four_state_semimarkov,interleaved_median_item,low,10,0.0003645273783510576,-0.0019489475981558171,0.002678002354857932,0.39,97.5
four_state_semimarkov,interleaved_median_item,middle,10,-0.0014538646838998268,-0.0038164513074339223,0.000908721939634269,0.352,88.0
four_state_semimarkov,least_mastery_target_item,high,10,0.0009400756388393032,-0.0020936586978134077,0.0039738099754920144,0.258,64.5
four_state_semimarkov,least_mastery_target_item,low,10,-0.004524010270763597,-0.006620891054691047,-0.002427129486836146,0.39,97.5
four_state_semimarkov,least_mastery_target_item,middle,10,-0.002188216344956939,-0.005505091459146502,0.0011286587692326236,0.352,88.0
four_state_semimarkov,maximum_response_information_gain,high,10,0.005632235165066853,0.00290287776530496,0.008361592564828746,0.258,64.5
four_state_semimarkov,maximum_response_information_gain,low,10,0.008781913781375756,0.007232934402579708,0.010330893160171804,0.39,97.5
four_state_semimarkov,maximum_response_information_gain,middle,10,0.005658563396534333,0.0017883164173572953,0.00952881037571137,0.352,88.0
four_state_semimarkov,maximum_skill_uncertainty,high,10,0.001943968210536854,-0.0008645448457872042,0.004752481266860912,0.258,64.5
four_state_semimarkov,maximum_skill_uncertainty,low,10,0.003128508109903261,-0.0004827578663787408,0.0067397740861852625,0.39,97.5
four_state_semimarkov,maximum_skill_uncertainty,middle,10,0.0032333777816558004,1.7076781938938062e-05,0.006449678781372663,0.352,88.0
four_state_semimarkov,random_skill_item_bin,high,10,-0.0015449555917069536,-0.0035840130015580376,0.0004941018181441304,0.258,64.5
four_state_semimarkov,random_skill_item_bin,low,10,-0.0017122655179094726,-0.004346230890520886,0.0009216998547019407,0.39,97.5
four_state_semimarkov,random_skill_item_bin,middle,10,-0.002736222893264998,-0.0052470023696856195,-0.00022544341684437638,0.352,88.0
four_state_semimarkov,target_success_070,high,10,-0.0006419215625950455,-0.0035625345639868898,0.002278691438796799,0.258,64.5
four_state_semimarkov,target_success_070,low,10,0.0018269481563161292,0.000168460790231767,0.003485435522400491,0.39,97.5
four_state_semimarkov,target_success_070,middle,10,-0.00021715621716658084,-0.003626235139405596,0.0031919227050724343,0.352,88.0
four_state_semimarkov,two_corner_robust_response_information_gain,high,10,0.007452956800077246,0.0041830018642438705,0.010722911735910622,0.258,64.5
four_state_semimarkov,two_corner_robust_response_information_gain,low,10,0.00808911097430028,0.005555338133474325,0.010622883815126234,0.39,97.5
four_state_semimarkov,two_corner_robust_response_information_gain,middle,10,0.007410462698897271,0.004316506734809239,0.010504418662985304,0.352,88.0
