skill_id,world_model,initial_latent,initial_target,one_step_gain,gain_target,retention_30d,retention_target,mean_learning_probability_after_heterogeneity,target_learning_probability,mean_30d_retention_factor_after_heterogeneity,target_30d_retention_factor,initial_abs_error,gain_abs_error,retention_abs_error
78,four_state_semimarkov,0.5165337203871039,0.5165337203871039,0.013523741516680898,0.013523741516680876,0.4994870708154358,0.4994870708154392,0.027972460721581553,0.0279724607215815,0.9669979927759743,0.9669979927759809,0.0,2.2551405187698492e-17,3.3861802251067274e-15
80,binary_bktf,0.6438822987545423,0.6438822987545423,0.012340101833705935,0.012340101833705945,0.6262546471405782,0.6262546471405788,0.03465175078505967,0.0346517507850597,0.9726228665579701,0.972622866557971,0.0,1.0408340855860843e-17,5.551115123125783e-16
80,continuous_latent_trait,0.6438822987545423,0.6438822987545423,0.012340101833705935,0.012340101833705945,0.6262546471405782,0.6262546471405788,0.03465175078505967,0.0346517507850597,0.9726228665579701,0.972622866557971,0.0,1.0408340855860843e-17,5.551115123125783e-16
80,four_state_semimarkov,0.6438822987545423,0.6438822987545423,0.012340101833705935,0.012340101833705945,0.6262546471405782,0.6262546471405788,0.03465175078505967,0.0346517507850597,0.9726228665579701,0.972622866557971,0.0,1.0408340855860843e-17,5.551115123125783e-16
83,binary_bktf,0.3887230103399143,0.3887230103399143,0.007465031827750641,0.0074650318277506705,0.37387476820397314,0.373874768203983,0.012212191778888552,0.0122121917788886,0.96180251299516,0.9618025129951855,0.0,2.949029909160572e-17,9.880984919163893e-15
83,continuous_latent_trait,0.3887230103399143,0.3887230103399143,0.007465031827750641,0.0074650318277506705,0.37387476820397314,0.373874768203983,0.012212191778888552,0.0122121917788886,0.96180251299516,0.9618025129951855,0.0,2.949029909160572e-17,9.880984919163893e-15
83,four_state_semimarkov,0.3887230103399143,0.3887230103399143,0.007465031827750642,0.0074650318277506705,0.37387476820397314,0.373874768203983,0.012212191778888552,0.0122121917788886,0.96180251299516,0.9618025129951855,0.0,2.862293735361732e-17,9.880984919163893e-15
84,binary_bktf,0.5091926090912997,0.5091926090912997,0.014030010086780457,0.01403001008678048,0.490817851531809,0.4908178515318166,0.028585572154495757,0.0285855721544958,0.9639139350583228,0.9639139350583378,0.0,2.2551405187698492e-17,7.605027718682322e-15
84,continuous_latent_trait,0.5091926090912997,0.5091926090912997,0.014030010086780457,0.01403001008678048,0.490817851531809,0.4908178515318166,0.028585572154495757,0.0285855721544958,0.9639139350583228,0.9639139350583378,0.0,2.2551405187698492e-17,7.605027718682322e-15
84,four_state_semimarkov,0.5091926090912997,0.5091926090912997,0.014030010086780455,0.01403001008678048,0.490817851531809,0.4908178515318166,0.028585572154495757,0.0285855721544958,0.9639139350583228,0.9639139350583378,0.0,2.42861286636753e-17,7.605027718682322e-15
85,binary_bktf,0.2443369050945841,0.2443369050945841,0.010460899257682236,0.010460899257682277,0.23391143447833815,0.23391143447835522,0.013843337498163246,0.0138433374981633,0.9573315762012693,0.9573315762013391,0.0,4.163336342344337e-17,1.7069679003611782e-14
85,continuous_latent_trait,0.2443369050945841,0.2443369050945841,0.010460899257682236,0.010460899257682277,0.23391143447833815,0.23391143447835522,0.013843337498163246,0.0138433374981633,0.9573315762012693,0.9573315762013391,0.0,4.163336342344337e-17,1.7069679003611782e-14
85,four_state_semimarkov,0.2443369050945841,0.2443369050945841,0.010460899257682238,0.010460899257682277,0.23391143447833815,0.23391143447835522,0.013843337498163246,0.0138433374981633,0.9573315762012693,0.9573315762013391,0.0,3.9898639947466563e-17,1.7069679003611782e-14
86,binary_bktf,0.6756854469573333,0.6756854469573333,0.009746751098360382,0.009746751098360373,0.6556962398415134,0.6556962398415148,0.030053388005311328,0.0300533880053113,0.9704164012917061,0.9704164012917083,0.0,8.673617379884035e-18,1.4432899320127035e-15
86,continuous_latent_trait,0.6756854469573333,0.6756854469573333,0.009746751098360382,0.009746751098360373,0.6556962398415134,0.6556962398415148,0.030053388005311328,0.0300533880053113,0.9704164012917061,0.9704164012917083,0.0,8.673617379884035e-18,1.4432899320127035e-15
86,four_state_semimarkov,0.6756854469573333,0.6756854469573333,0.009746751098360382,0.009746751098360373,0.6556962398415134,0.6556962398415148,0.030053388005311328,0.0300533880053113,0.9704164012917061,0.9704164012917083,0.0,8.673617379884035e-18,1.4432899320127035e-15
87,binary_bktf,0.534237489064374,0.534237489064374,0.010975564301785727,0.010975564301785699,0.5197317574678939,0.5197317574678944,0.02356472245852926,0.0235647224585292,0.9728477841907268,0.9728477841907277,0.0,2.7755575615628914e-17,4.440892098500626e-16
87,continuous_latent_trait,0.534237489064374,0.534237489064374,0.010975564301785727,0.010975564301785699,0.5197317574678939,0.5197317574678944,0.02356472245852926,0.0235647224585292,0.9728477841907268,0.9728477841907277,0.0,2.7755575615628914e-17,4.440892098500626e-16
87,four_state_semimarkov,0.534237489064374,0.534237489064374,0.010975564301785727,0.010975564301785699,0.5197317574678939,0.5197317574678944,0.02356472245852926,0.0235647224585292,0.9728477841907268,0.9728477841907277,0.0,2.7755575615628914e-17,4.440892098500626e-16
88,binary_bktf,0.6698108969970661,0.6698108969970661,0.008343152579693406,0.008343152579693423,0.6508227611136099,0.650822761113611,0.025267801098872947,0.025267801098873,0.9716514975068563,0.9716514975068579,0.0,1.734723475976807e-17,1.1102230246251565e-15
88,continuous_latent_trait,0.6698108969970661,0.6698108969970661,0.008343152579693406,0.008343152579693423,0.6508227611136099,0.650822761113611,0.025267801098872947,0.025267801098873,0.9716514975068563,0.9716514975068579,0.0,1.734723475976807e-17,1.1102230246251565e-15
