analysis_mode,parameter_draw,world_model,policy,simulated_benefit_draw_mean,within_draw_mc_sd,n_mc_replicates,n_orders,within_draw_mc_se
frozen_policy,4,binary_bktf,least_mastery_target_item,0.007333333333333331,0.006625393070100318,3,5,0.0038251724725095
frozen_policy,4,binary_bktf,maximum_response_information_gain,0.013833333333333335,0.005064171534746166,3,5,0.0029238007988081393
frozen_policy,4,binary_bktf,maximum_skill_uncertainty,0.006249999999999999,0.009086390922693123,3,5,0.005246030245179047
frozen_policy,4,binary_bktf,target_success_070,0.0018333333333333346,0.004049176871085445,3,5,0.0023377933565175884
frozen_policy,4,binary_bktf,two_corner_robust_response_information_gain,0.015749999999999997,0.008649421946003094,3,5,0.004993746088859543
frozen_policy,4,continuous_latent_trait,balanced_mastery,-0.003756153561704372,0.0006578887786996111,3,5,0.00037983226347905463
frozen_policy,4,continuous_latent_trait,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,4,continuous_latent_trait,interleaved_median_item,0.00017144393672942,3.368615606287125e-06,3,5,1.944871127086246e-06
frozen_policy,4,continuous_latent_trait,least_mastery_target_item,-0.01235347399524285,9.581213499019937e-05,3,5,5.531716192822437e-05
frozen_policy,4,continuous_latent_trait,maximum_response_information_gain,0.0013881770633916756,0.00017331489167995843,3,5,0.00010006339936599483
frozen_policy,4,continuous_latent_trait,maximum_skill_uncertainty,0.00037116860131440247,0.0001353100215867836,3,5,7.81212773871836e-05
frozen_policy,4,continuous_latent_trait,target_success_070,-2.5456944150273515e-05,0.0004548994949275017,3,5,0.0002626363458506179
frozen_policy,4,continuous_latent_trait,two_corner_robust_response_information_gain,0.0021025392066405936,0.00037305149429349687,3,5,0.00021538138065194256
frozen_policy,4,four_state_semimarkov,balanced_mastery,-0.0010000000000000002,0.0008207381501496698,3,5,0.0004738533919231074
frozen_policy,4,four_state_semimarkov,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,4,four_state_semimarkov,interleaved_median_item,-0.0014166666666666705,0.0015275252316519392,3,5,0.0008819171036881927
frozen_policy,4,four_state_semimarkov,least_mastery_target_item,-0.006416666666666663,0.003742585262147601,3,5,0.002160782608566044
frozen_policy,4,four_state_semimarkov,maximum_response_information_gain,0.004666666666666665,0.0012018504251546617,3,5,0.0006938886664887101
