skill_id,model,optimizer_success,optimizer_status,optimizer_message,n_train_events,n_train_sequences,nll_train,log_loss_train_objective,n_parameters,aic_train,bic_train,n_iterations,n_function_evaluations,gradient_inf_norm,hessian_status,p_init,p_learn,slip,guess,lambda_per_day,retention_half_life_days,se_p_init_approx,se_p_learn_approx,se_slip_approx,se_guess_approx,se_lambda_per_day_approx
80,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59051,5500,38249.771876355604,0.6477413062667119,4,76507.54375271121,76543.48837973634,25,56,0.0004431057887379762,positive_definite,0.5830455879913835,0.018323788996463974,0.28618086515820435,0.4767350216243346,0.0,inf,0.02674280219082073,0.0028112031417862767,0.0045011003559480775,0.009431125349231266,nan
80,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59051,5500,38197.533535934126,0.6468566753473121,5,76405.06707186825,76449.99785564966,24,28,2.4932676782112904e-05,positive_definite,0.647330804579136,0.03517226140558781,0.2885177200460271,0.43269676710668364,0.0008013596488973029,864.9639166555721,0.027788195590119014,0.004956695828285897,0.00508591469655118,0.013770143935093524,0.00016038527470282253
83,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81528,5500,53426.08255939813,0.6553096182832662,4,106860.16511879626,106897.39992599029,47,80,0.0019005670503906076,positive_definite,0.41708745799416547,0.007770490189913989,0.28185993661837355,0.4899395366577667,0.0,inf,0.016531860598103455,0.0010741086381790112,0.0033301353975597266,0.001342504118377101,nan
83,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81528,5500,53380.8411550133,0.6547546996738949,5,106771.6823100266,106818.22581901915,41,84,0.0002181080642976386,positive_definite,0.38645335226424443,0.012021950852607183,0.2664571626979056,0.4899395366577667,0.0014401638885538771,481.2974315416008,0.019470291769899718,0.0013422054919322059,0.004269103160657495,0.00336645272707445,0.0002690154219039303
84,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66720,5500,42575.01579246983,0.6381147450909747,4,85158.03158493966,85194.46462508778,40,78,2.7450773684871946e-05,positive_definite,0.49698523168519015,0.018278450284090565,0.26740875888060867,0.483512162972491,0.0,inf,0.022889964134328044,0.0021991078813881288,0.003575341877244137,0.007105526745336583,nan
84,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66720,5500,42513.886849889284,0.6371985439132087,5,85037.77369977857,85083.31499996374,33,68,5.9464782879940825e-05,positive_definite,0.5085241339620529,0.02870069540843496,0.25928622474253543,0.4679574821697336,0.0012923602211470187,536.3420888525576,0.024545315371117194,0.0030007402596988007,0.004209263773560537,0.008287382824624084,0.00021960666028280644
85,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106204,5500,69532.62797818921,0.6547081840438139,4,139073.25595637842,139111.54842458587,47,87,0.0017920824967695966,positive_definite,0.24861576841679547,0.00941343836766232,0.27413374875342694,0.48455807290483105,0.0,inf,0.015100243631166636,0.0008934481700791404,0.003088031220654568,0.003736365408202597,nan
85,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106204,5500,69474.95168463657,0.6541651132220686,5,138959.90336927315,139007.76895453245,62,120,8.172189408746556e-05,positive_definite,0.2400783966108603,0.01372116574526226,0.26719839603800655,0.47870532163389073,0.0017429251215710657,397.69188703594176,0.01605948038063787,0.0012766748514304654,0.0035126335164128997,0.004386906565696546,0.0003268065298212888
86,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60058,5500,35503.14777798642,0.5911476868691335,4,71014.29555597284,71050.30782013664,27,61,0.05347105572341588,positive_definite,0.6939162562200932,0.019298431875268827,0.2214269094582076,0.4899395366577667,0.0,inf,0.013612929191742246,0.002729098908080562,0.0028389157321004888,0.0002614400682602243,nan
86,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60058,5500,35414.61852502351,0.589673624246953,5,70839.23705004701,70884.25238025177,44,84,0.026698196603450713,positive_definite,0.6769300831102707,0.030224673804046146,0.20982118886130322,0.4899395366577667,0.0009506573784460698,729.1240737992832,0.014204630827282332,0.003335960017605103,0.0030614492677777756,0.00036986728858539995,0.00015025820960123162
